initiative_id,forecast_version,horizon,measure,amount
AI-001,FY26 Q1 re-forecast,FY2026,programme_spend,5095505.36
AI-001,FY26 Q2 re-forecast,FY2026,programme_spend,5071861.99
AI-001,FY26 Q3 re-forecast,FY2026,programme_spend,5038957.36
AI-001,FY26 Q4 outlook,FY2027,programme_spend,2250000.0
AI-001,FY26 Q4 outlook,FY2028,programme_spend,2250000.0
AI-002,FY26 Q1 re-forecast,FY2026,programme_spend,2932269.48
AI-002,FY26 Q2 re-forecast,FY2026,programme_spend,3101194.61
AI-002,FY26 Q3 re-forecast,FY2026,programme_spend,3098030.1
AI-002,FY26 Q4 outlook,FY2027,programme_spend,1395000.0
AI-002,FY26 Q4 outlook,FY2028,programme_spend,1395000.0
AI-003,FY26 Q1 re-forecast,FY2026,programme_spend,7228506.98
AI-003,FY26 Q2 re-forecast,FY2026,programme_spend,7954834.16
AI-003,FY26 Q3 re-forecast,FY2026,programme_spend,7876547.96
AI-003,FY26 Q4 outlook,FY2027,programme_spend,3780000.0
AI-003,FY26 Q4 outlook,FY2028,programme_spend,3780000.0
AI-004,FY26 Q1 re-forecast,FY2026,programme_spend,1844029.26
AI-004,FY26 Q2 re-forecast,FY2026,programme_spend,1824464.38
AI-004,FY26 Q3 re-forecast,FY2026,programme_spend,1807151.04
AI-004,FY26 Q4 outlook,FY2027,programme_spend,810000.0
AI-004,FY26 Q4 outlook,FY2028,programme_spend,810000.0
AI-005,FY26 Q1 re-forecast,FY2026,programme_spend,2024365.1
AI-005,FY26 Q2 re-forecast,FY2026,programme_spend,2027100.55
AI-005,FY26 Q3 re-forecast,FY2026,programme_spend,2011089.76
AI-005,FY26 Q4 outlook,FY2027,programme_spend,900000.0
AI-005,FY26 Q4 outlook,FY2028,programme_spend,900000.0
AI-006,FY26 Q1 re-forecast,FY2026,programme_spend,3647828.32
AI-006,FY26 Q2 re-forecast,FY2026,programme_spend,3689837.84
AI-006,FY26 Q3 re-forecast,FY2026,programme_spend,3768458.61
AI-006,FY26 Q4 outlook,FY2027,programme_spend,1755000.0
AI-006,FY26 Q4 outlook,FY2028,programme_spend,1755000.0
AI-007,FY26 Q1 re-forecast,FY2026,programme_spend,3142296.76
AI-007,FY26 Q2 re-forecast,FY2026,programme_spend,3164071.97
AI-007,FY26 Q3 re-forecast,FY2026,programme_spend,3184468.05
AI-007,FY26 Q4 outlook,FY2027,programme_spend,1440000.0
AI-007,FY26 Q4 outlook,FY2028,programme_spend,1440000.0
AI-008,FY26 Q1 re-forecast,FY2026,programme_spend,4569435.63
AI-008,FY26 Q2 re-forecast,FY2026,programme_spend,4583654.52
AI-008,FY26 Q3 re-forecast,FY2026,programme_spend,4598640.23
AI-008,FY26 Q4 outlook,FY2027,programme_spend,2070000.0
AI-008,FY26 Q4 outlook,FY2028,programme_spend,2070000.0
AI-009,FY26 Q1 re-forecast,FY2026,programme_spend,3252974.54
AI-009,FY26 Q2 re-forecast,FY2026,programme_spend,3384225.22
AI-009,FY26 Q3 re-forecast,FY2026,programme_spend,3333483.16
AI-009,FY26 Q4 outlook,FY2027,programme_spend,1485000.0
AI-009,FY26 Q4 outlook,FY2028,programme_spend,1485000.0
AI-010,FY26 Q1 re-forecast,FY2026,programme_spend,3441681.29
AI-010,FY26 Q2 re-forecast,FY2026,programme_spend,3459142.54
AI-010,FY26 Q3 re-forecast,FY2026,programme_spend,3483956.6
AI-010,FY26 Q4 outlook,FY2027,programme_spend,1620000.0
AI-010,FY26 Q4 outlook,FY2028,programme_spend,1620000.0
AI-011,FY26 Q1 re-forecast,FY2026,programme_spend,1429651.67
AI-011,FY26 Q2 re-forecast,FY2026,programme_spend,1426805.15
AI-011,FY26 Q3 re-forecast,FY2026,programme_spend,1413461.85
AI-011,FY26 Q4 outlook,FY2027,programme_spend,630000.0
AI-011,FY26 Q4 outlook,FY2028,programme_spend,630000.0
AI-012,FY26 Q1 re-forecast,FY2026,programme_spend,2112946.83
AI-012,FY26 Q2 re-forecast,FY2026,programme_spend,2057036.91
AI-012,FY26 Q3 re-forecast,FY2026,programme_spend,2013212.04
AI-012,FY26 Q4 outlook,FY2027,programme_spend,900000.0
AI-012,FY26 Q4 outlook,FY2028,programme_spend,900000.0
